periodFrom,periodTo,operatorLabel,pointLabel,directionKey,unit,Allocation,Nomination,Physical flow,Renomination,Firm technical,Firm Available,Firm Booked
4/12/2025 6:00,4/12/2025 7:00,Energinet,Nybro,entry,kWh/h,751687,1098072,246271,751687,8589000,7339424,1249576
4/12/2025 7:00,4/12/2025 8:00,Energinet,Nybro,entry,kWh/h,151500,1098072,247697,551500,8589000,7339424,1249576
4/12/2025 8:00,4/12/2025 9:00,Energinet,Nybro,entry,kWh/h,151500,1098072,246228,551500,8589000,7339424,1249576
4/12/2025 9:00,4/12/2025 10:00,Energinet,Nybro,entry,kWh/h,151500,1098072,246165,551500,8589000,7339424,1249576
4/12/2025 10:00,4/12/2025 11:00,Energinet,Nybro,entry,kWh/h,151500,1098072,248137,551500,8589000,7339424,1249576
4/12/2025 11:00,4/12/2025 12:00,Energinet,Nybro,entry,kWh/h,151500,1098072,246486,551500,8589000,7339424,1249576
4/12/2025 12:00,4/12/2025 13:00,Energinet,Nybro,entry,kWh/h,151500,1098072,247804,551500,8589000,7339424,1249576
4/12/2025 13:00,4/12/2025 14:00,Energinet,Nybro,entry,kWh/h,151500,1098072,246754,551500,8589000,7339424,1249576
4/12/2025 14:00,4/12/2025 15:00,Energinet,Nybro,entry,kWh/h,151500,1098072,247944,551500,8589000,7339424,1249576
4/12/2025 15:00,4/12/2025 16:00,Energinet,Nybro,entry,kWh/h,151500,1098072,246254,551500,8589000,7339424,1249576
4/12/2025 16:00,4/12/2025 17:00,Energinet,Nybro,entry,kWh/h,151500,1098072,249081,551500,8589000,7339424,1249576
4/12/2025 17:00,4/12/2025 18:00,Energinet,Nybro,entry,kWh/h,151500,1098072,247817,551500,8589000,7339424,1249576
4/12/2025 18:00,4/12/2025 19:00,Energinet,Nybro,entry,kWh/h,151500,1098072,246494,551500,8589000,7339424,1249576
4/12/2025 19:00,4/12/2025 20:00,Energinet,Nybro,entry,kWh/h,151500,1098072,246206,551500,8589000,7339424,1249576
4/12/2025 20:00,4/12/2025 21:00,Energinet,Nybro,entry,kWh/h,151500,1098072,246421,551500,8589000,7339424,1249576
4/12/2025 21:00,4/12/2025 22:00,Energinet,Nybro,entry,kWh/h,151500,1098072,248768,551500,8589000,7339424,1249576
4/12/2025 22:00,4/12/2025 23:00,Energinet,Nybro,entry,kWh/h,151500,1098072,246599,551500,8589000,7339424,1249576
4/12/2025 23:00,4/13/2025 0:00,Energinet,Nybro,entry,kWh/h,151500,1098072,248616,551500,8589000,7339424,1249576
4/13/2025 0:00,4/13/2025 1:00,Energinet,Nybro,entry,kWh/h,151500,1098072,248212,551500,8589000,7339424,1249576
4/13/2025 1:00,4/13/2025 2:00,Energinet,Nybro,entry,kWh/h,401500,1098072,247147,801500,8589000,7339424,1249576
4/13/2025 2:00,4/13/2025 3:00,Energinet,Nybro,entry,kWh/h,401500,1098072,246829,801500,8589000,7339424,1249576
4/13/2025 3:00,4/13/2025 4:00,Energinet,Nybro,entry,kWh/h,401500,1098072,248595,801500,8589000,7339424,1249576
4/13/2025 4:00,4/13/2025 5:00,Energinet,Nybro,entry,kWh/h,401500,1098072,247010,801500,8589000,7339424,1249576
4/13/2025 5:00,4/13/2025 6:00,Energinet,Nybro,entry,kWh/h,401500,1098072,248475,801500,8589000,7339424,1249576
4/13/2025 6:00,4/13/2025 7:00,Energinet,Nybro,entry,kWh/h,151500,1127159,248338,151500,8589000,7710329,878671
4/13/2025 7:00,4/13/2025 8:00,Energinet,Nybro,entry,kWh/h,151500,1127159,248181,151500,8589000,7710329,878671
4/13/2025 8:00,4/13/2025 9:00,Energinet,Nybro,entry,kWh/h,151500,1127159,249945,151500,8589000,7710329,878671
4/13/2025 9:00,4/13/2025 10:00,Energinet,Nybro,entry,kWh/h,151500,1127159,246436,151500,8589000,7710329,878671
4/13/2025 10:00,4/13/2025 11:00,Energinet,Nybro,entry,kWh/h,151500,1127159,250159,151500,8589000,7710329,878671
4/13/2025 11:00,4/13/2025 12:00,Energinet,Nybro,entry,kWh/h,151500,1127159,248212,151500,8589000,7710329,878671
4/13/2025 12:00,4/13/2025 13:00,Energinet,Nybro,entry,kWh/h,878659,1127159,399217,878659,8589000,7710329,878671
4/13/2025 13:00,4/13/2025 14:00,Energinet,Nybro,entry,kWh/h,878659,1127159,803598,878659,8589000,7710329,878671
4/13/2025 14:00,4/13/2025 15:00,Energinet,Nybro,entry,kWh/h,1309454,1127159,1178674,1309454,8589000,7710329,878671
4/13/2025 15:00,4/13/2025 16:00,Energinet,Nybro,entry,kWh/h,1309454,1127159,1478275,1309454,8589000,7710329,878671
4/13/2025 16:00,4/13/2025 17:00,Energinet,Nybro,entry,kWh/h,1909454,1127159,1921074,1909454,8589000,7710329,878671
4/13/2025 17:00,4/13/2025 18:00,Energinet,Nybro,entry,kWh/h,1909454,1127159,1782956,1909454,8589000,7710329,878671
4/13/2025 18:00,4/13/2025 19:00,Energinet,Nybro,entry,kWh/h,1909454,1127159,1680968,1909454,8589000,7710329,878671
4/13/2025 19:00,4/13/2025 20:00,Energinet,Nybro,entry,kWh/h,1909454,1127159,1719703,1909454,8589000,7710329,878671
4/13/2025 20:00,4/13/2025 21:00,Energinet,Nybro,entry,kWh/h,1909454,1127159,1666131,1909454,8589000,7710329,878671
4/13/2025 21:00,4/13/2025 22:00,Energinet,Nybro,entry,kWh/h,2109454,1127159,1718394,2109454,8589000,7710329,878671
4/13/2025 22:00,4/13/2025 23:00,Energinet,Nybro,entry,kWh/h,2109454,1127159,1707842,2109454,8589000,7710329,878671
4/13/2025 23:00,4/14/2025 0:00,Energinet,Nybro,entry,kWh/h,2095738,1127159,1706191,2095738,8589000,7710329,878671
4/14/2025 0:00,4/14/2025 1:00,Energinet,Nybro,entry,kWh/h,2072543,1127159,1731989,2072543,8589000,7710329,878671
4/14/2025 1:00,4/14/2025 2:00,Energinet,Nybro,entry,kWh/h,1859454,1127159,1694579,1859454,8589000,7710329,878671
4/14/2025 2:00,4/14/2025 3:00,Energinet,Nybro,entry,kWh/h,1859454,1127159,1745148,1859454,8589000,7710329,878671
4/14/2025 3:00,4/14/2025 4:00,Energinet,Nybro,entry,kWh/h,1859454,1127159,1718585,1859454,8589000,7710329,878671
4/14/2025 4:00,4/14/2025 5:00,Energinet,Nybro,entry,kWh/h,1859454,1127159,1693168,1859454,8589000,7710329,878671
4/14/2025 5:00,4/14/2025 6:00,Energinet,Nybro,entry,kWh/h,1859454,1127143,1746547,1859454,8589000,7710329,878671
4/14/2025 6:00,4/14/2025 7:00,Energinet,Nybro,entry,kWh/h,1310280,1380209,1669162,1310280,8589000,7278704,1310296
4/14/2025 7:00,4/14/2025 8:00,Energinet,Nybro,entry,kWh/h,1310280,1380209,1541438,1310280,8589000,7278704,1310296
4/14/2025 8:00,4/14/2025 9:00,Energinet,Nybro,entry,kWh/h,1234006,1380209,1628331,1234006,8589000,7278704,1310296
4/14/2025 9:00,4/14/2025 10:00,Energinet,Nybro,entry,kWh/h,1146167,1380209,1959925,1146167,8589000,7278704,1310296
4/14/2025 10:00,4/14/2025 11:00,Energinet,Nybro,entry,kWh/h,1746167,1380209,1859864,1746167,8589000,7278704,1310296
4/14/2025 11:00,4/14/2025 12:00,Energinet,Nybro,entry,kWh/h,1846167,1380209,1897666,1846167,8589000,7278704,1310296
4/14/2025 12:00,4/14/2025 13:00,Energinet,Nybro,entry,kWh/h,1777590,1380209,1771127,1777590,8589000,7278704,1310296
4/14/2025 13:00,4/14/2025 14:00,Energinet,Nybro,entry,kWh/h,1777590,1380209,1758567,1777590,8589000,7278704,1310296
4/14/2025 14:00,4/14/2025 15:00,Energinet,Nybro,entry,kWh/h,1777590,1380209,1747109,1777590,8589000,7278704,1310296
4/14/2025 15:00,4/14/2025 16:00,Energinet,Nybro,entry,kWh/h,1777590,1380209,1770860,1777590,8589000,7278704,1310296
4/14/2025 16:00,4/14/2025 17:00,Energinet,Nybro,entry,kWh/h,2062590,1380209,1795393,2062590,8589000,7278704,1310296
4/14/2025 17:00,4/14/2025 18:00,Energinet,Nybro,entry,kWh/h,2238590,1380209,1984057,2238590,8589000,7278704,1310296
4/14/2025 18:00,4/14/2025 19:00,Energinet,Nybro,entry,kWh/h,2345416,1380209,2109811,2345416,8589000,7278704,1310296
4/14/2025 19:00,4/14/2025 20:00,Energinet,Nybro,entry,kWh/h,2295983,1380209,2070517,2330378,8589000,7278704,1310296
4/14/2025 20:00,4/14/2025 21:00,Energinet,Nybro,entry,kWh/h,2460186,1380209,2054013,2569953,8589000,7278704,1310296
4/14/2025 21:00,4/14/2025 22:00,Energinet,Nybro,entry,kWh/h,2435790,1380209,2042147,2548060,8589000,7278704,1310296
4/14/2025 22:00,4/14/2025 23:00,Energinet,Nybro,entry,kWh/h,2430235,1380209,2067658,2543074,8589000,7278704,1310296
4/14/2025 23:00,4/15/2025 0:00,Energinet,Nybro,entry,kWh/h,2571321,1380209,2028216,2653257,8589000,7278704,1310296
4/15/2025 0:00,4/15/2025 1:00,Energinet,Nybro,entry,kWh/h,2395584,1380209,2049150,2490667,8589000,7278704,1310296
4/15/2025 1:00,4/15/2025 2:00,Energinet,Nybro,entry,kWh/h,2389109,1380209,1999879,2490667,8589000,7278704,1310296
4/15/2025 2:00,4/15/2025 3:00,Energinet,Nybro,entry,kWh/h,2239743,1380209,1547863,2342667,8589000,7278704,1310296
4/15/2025 3:00,4/15/2025 4:00,Energinet,Nybro,entry,kWh/h,2532247,1380209,1804775,2635667,8589000,7278704,1310296
4/15/2025 4:00,4/15/2025 5:00,Energinet,Nybro,entry,kWh/h,2435667,1380209,1790226,2635667,8589000,7278704,1310296
4/15/2025 5:00,4/15/2025 6:00,Energinet,Nybro,entry,kWh/h,2389370,1380193,1338880,2635663,8589000,7278704,1310296
4/15/2025 6:00,4/15/2025 7:00,Energinet,Nybro,entry,kWh/h,1297386,1908110,424125,1900690,8589000,6374878,2214122
4/15/2025 7:00,4/15/2025 8:00,Energinet,Nybro,entry,kWh/h,609705,1908110,245364,1124691,8589000,6374878,2214122
4/15/2025 8:00,4/15/2025 9:00,Energinet,Nybro,entry,kWh/h,306000,1908110,247020,1084000,8589000,6374878,2214122
4/15/2025 9:00,4/15/2025 10:00,Energinet,Nybro,entry,kWh/h,306000,1908110,245402,1084000,8589000,6374878,2214122
4/15/2025 10:00,4/15/2025 11:00,Energinet,Nybro,entry,kWh/h,306000,1908110,245264,1084000,8589000,6374878,2214122
4/15/2025 11:00,4/15/2025 12:00,Energinet,Nybro,entry,kWh/h,306000,1908110,245533,1084000,8589000,6374878,2214122
4/15/2025 12:00,4/15/2025 13:00,Energinet,Nybro,entry,kWh/h,306000,1908110,245118,856000,8589000,6374878,2214122
4/15/2025 13:00,4/15/2025 14:00,Energinet,Nybro,entry,kWh/h,306000,1908110,246765,856000,8589000,6374878,2214122
4/15/2025 14:00,4/15/2025 15:00,Energinet,Nybro,entry,kWh/h,556000,1908110,245123,1106000,8589000,6374878,2214122
4/15/2025 15:00,4/15/2025 16:00,Energinet,Nybro,entry,kWh/h,1156000,1908110,246512,1706000,8589000,6374878,2214122
4/15/2025 16:00,4/15/2025 17:00,Energinet,Nybro,entry,kWh/h,1156000,1908110,245687,1934433,8589000,6374878,2214122
4/15/2025 17:00,4/15/2025 18:00,Energinet,Nybro,entry,kWh/h,1156000,1908110,245206,1934433,8589000,6374878,2214122
4/15/2025 18:00,4/15/2025 19:00,Energinet,Nybro,entry,kWh/h,1156000,1908110,247012,1934433,8589000,6374878,2214122
4/15/2025 19:00,4/15/2025 20:00,Energinet,Nybro,entry,kWh/h,1156000,1908110,245795,1934433,8589000,6374878,2214122
4/15/2025 20:00,4/15/2025 21:00,Energinet,Nybro,entry,kWh/h,1156000,1908110,245313,1934433,8589000,6374878,2214122
4/15/2025 21:00,4/15/2025 22:00,Energinet,Nybro,entry,kWh/h,1156000,1908110,245587,1934433,8589000,6374878,2214122
4/15/2025 22:00,4/15/2025 23:00,Energinet,Nybro,entry,kWh/h,1156000,1908110,245823,1934433,8589000,6374878,2214122
4/15/2025 23:00,4/16/2025 0:00,Energinet,Nybro,entry,kWh/h,1156000,1908110,247534,1934433,8589000,6374878,2214122
4/16/2025 0:00,4/16/2025 1:00,Energinet,Nybro,entry,kWh/h,1156000,1908110,244288,1940756,8589000,6374878,2214122
4/16/2025 1:00,4/16/2025 2:00,Energinet,Nybro,entry,kWh/h,1206000,1908110,247199,1990756,8589000,6374878,2214122
4/16/2025 2:00,4/16/2025 3:00,Energinet,Nybro,entry,kWh/h,1206000,1908110,245482,1990756,8589000,6374878,2214122
4/16/2025 3:00,4/16/2025 4:00,Energinet,Nybro,entry,kWh/h,1206000,1908110,247209,1990756,8589000,6374878,2214122
4/16/2025 4:00,4/16/2025 5:00,Energinet,Nybro,entry,kWh/h,1206000,1908110,245872,1990756,8589000,6374878,2214122
4/16/2025 5:00,4/16/2025 6:00,Energinet,Nybro,entry,kWh/h,1206000,1908103,245622,1990764,8589000,6374878,2214122
4/16/2025 6:00,4/16/2025 7:00,Energinet,Nybro,entry,kWh/h,206500,639900,246146,206500,8589000,7690739,898261
4/16/2025 7:00,4/16/2025 8:00,Energinet,Nybro,entry,kWh/h,206500,639900,251016,206500,8589000,7690739,898261
4/16/2025 8:00,4/16/2025 9:00,Energinet,Nybro,entry,kWh/h,206500,639900,248484,206500,8589000,7690739,898261
4/16/2025 9:00,4/16/2025 10:00,Energinet,Nybro,entry,kWh/h,206500,639900,250709,206500,8589000,7690739,898261
4/16/2025 10:00,4/16/2025 11:00,Energinet,Nybro,entry,kWh/h,206500,639900,249122,206500,8589000,7690739,898261
4/16/2025 11:00,4/16/2025 12:00,Energinet,Nybro,entry,kWh/h,206500,639900,250700,206500,8589000,7690739,898261
4/16/2025 12:00,4/16/2025 13:00,Energinet,Nybro,entry,kWh/h,206500,639900,250675,206500,8589000,7690739,898261
4/16/2025 13:00,4/16/2025 14:00,Energinet,Nybro,entry,kWh/h,206500,639900,249012,206500,8589000,7690739,898261
4/16/2025 14:00,4/16/2025 15:00,Energinet,Nybro,entry,kWh/h,206500,639900,249286,206500,8589000,7690739,898261
4/16/2025 15:00,4/16/2025 16:00,Energinet,Nybro,entry,kWh/h,206500,639900,250358,206500,8589000,7690739,898261
4/16/2025 16:00,4/16/2025 17:00,Energinet,Nybro,entry,kWh/h,206500,639900,250657,206500,8589000,7690739,898261
4/16/2025 17:00,4/16/2025 18:00,Energinet,Nybro,entry,kWh/h,206500,639900,248926,206500,8589000,7690739,898261
4/16/2025 18:00,4/16/2025 19:00,Energinet,Nybro,entry,kWh/h,206500,639900,249646,206500,8589000,7690739,898261
4/16/2025 19:00,4/16/2025 20:00,Energinet,Nybro,entry,kWh/h,206500,639900,251110,206500,8589000,7690739,898261
4/16/2025 20:00,4/16/2025 21:00,Energinet,Nybro,entry,kWh/h,206500,639900,250642,206500,8589000,7690739,898261
4/16/2025 21:00,4/16/2025 22:00,Energinet,Nybro,entry,kWh/h,206500,639900,246091,206500,8589000,7690739,898261
4/16/2025 22:00,4/16/2025 23:00,Energinet,Nybro,entry,kWh/h,206500,639900,242722,206500,8589000,7690739,898261
4/16/2025 23:00,4/17/2025 0:00,Energinet,Nybro,entry,kWh/h,206500,639900,244972,206500,8589000,7690739,898261
4/17/2025 0:00,4/17/2025 1:00,Energinet,Nybro,entry,kWh/h,206500,639900,244285,206500,8589000,7690739,898261
4/17/2025 1:00,4/17/2025 2:00,Energinet,Nybro,entry,kWh/h,206500,639900,242751,206500,8589000,7690739,898261
4/17/2025 2:00,4/17/2025 3:00,Energinet,Nybro,entry,kWh/h,211788,639900,242752,206500,8589000,7690739,898261
4/17/2025 3:00,4/17/2025 4:00,Energinet,Nybro,entry,kWh/h,211788,639900,245721,206500,8589000,7690739,898261
4/17/2025 4:00,4/17/2025 5:00,Energinet,Nybro,entry,kWh/h,611788,639900,244671,606500,8589000,7690739,898261
4/17/2025 5:00,4/17/2025 6:00,Energinet,Nybro,entry,kWh/h,606500,639884,242362,606500,8589000,7690739,898261
4/17/2025 6:00,4/17/2025 7:00,Energinet,Nybro,entry,kWh/h,596295,436295,236571,596295,8589000,7992704,596296
4/17/2025 7:00,4/17/2025 8:00,Energinet,Nybro,entry,kWh/h,596295,436295,234722,596295,8589000,7992704,596296
4/17/2025 8:00,4/17/2025 9:00,Energinet,Nybro,entry,kWh/h,596295,436295,233228,596295,8589000,7992704,596296
4/17/2025 9:00,4/17/2025 10:00,Energinet,Nybro,entry,kWh/h,596295,436295,232919,596295,8589000,7992704,596296
4/17/2025 10:00,4/17/2025 11:00,Energinet,Nybro,entry,kWh/h,596295,436295,234758,596295,8589000,7992704,596296
4/17/2025 11:00,4/17/2025 12:00,Energinet,Nybro,entry,kWh/h,596295,436295,233255,596295,8589000,7992704,596296
4/17/2025 12:00,4/17/2025 13:00,Energinet,Nybro,entry,kWh/h,596295,436295,234293,596295,8589000,7992704,596296
4/17/2025 13:00,4/17/2025 14:00,Energinet,Nybro,entry,kWh/h,596295,436295,234823,596295,8589000,7992704,596296
4/17/2025 14:00,4/17/2025 15:00,Energinet,Nybro,entry,kWh/h,291212,436295,232628,291212,8589000,7992704,596296
4/17/2025 15:00,4/17/2025 16:00,Energinet,Nybro,entry,kWh/h,596295,436295,234387,596295,8589000,7992704,596296
4/17/2025 16:00,4/17/2025 17:00,Energinet,Nybro,entry,kWh/h,596295,436295,233074,596295,8589000,7992704,596296
4/17/2025 17:00,4/17/2025 18:00,Energinet,Nybro,entry,kWh/h,1046295,436295,899966,1046295,8589000,7992704,596296
4/17/2025 18:00,4/17/2025 19:00,Energinet,Nybro,entry,kWh/h,1046295,436295,984806,1046295,8589000,7992704,596296
4/17/2025 19:00,4/17/2025 20:00,Energinet,Nybro,entry,kWh/h,1046295,436295,985604,1046295,8589000,7992704,596296
4/17/2025 20:00,4/17/2025 21:00,Energinet,Nybro,entry,kWh/h,1046295,436295,1000313,1046295,8589000,7992704,596296
4/17/2025 21:00,4/17/2025 22:00,Energinet,Nybro,entry,kWh/h,1046295,436295,985355,1046295,8589000,7992704,596296
4/17/2025 22:00,4/17/2025 23:00,Energinet,Nybro,entry,kWh/h,1046295,436295,997996,1046295,8589000,7992704,596296
4/17/2025 23:00,4/18/2025 0:00,Energinet,Nybro,entry,kWh/h,1046295,436295,1000418,1046295,8589000,7992704,596296
4/18/2025 0:00,4/18/2025 1:00,Energinet,Nybro,entry,kWh/h,1046295,436295,987701,1046295,8589000,7992704,596296
4/18/2025 1:00,4/18/2025 2:00,Energinet,Nybro,entry,kWh/h,1046295,436295,987000,1046295,8589000,7992704,596296
4/18/2025 2:00,4/18/2025 3:00,Energinet,Nybro,entry,kWh/h,1046295,436295,987363,1046295,8589000,7992704,596296
4/18/2025 3:00,4/18/2025 4:00,Energinet,Nybro,entry,kWh/h,1184295,436295,988312,1184295,8589000,7992704,596296
4/18/2025 4:00,4/18/2025 5:00,Energinet,Nybro,entry,kWh/h,1184295,436295,977394,1184295,8589000,7992704,596296
4/18/2025 5:00,4/18/2025 6:00,Energinet,Nybro,entry,kWh/h,1184295,436295,975080,1184295,8589000,7992704,596296
4/18/2025 6:00,4/18/2025 7:00,Energinet,Nybro,entry,kWh/h,986054,523554,985291,986054,8589000,7602945,986055
4/18/2025 7:00,4/18/2025 8:00,Energinet,Nybro,entry,kWh/h,986054,523554,1032489,986054,8589000,7602945,986055
4/18/2025 8:00,4/18/2025 9:00,Energinet,Nybro,entry,kWh/h,1168160,523554,1242634,1168160,8589000,7420545,1168455
4/18/2025 9:00,4/18/2025 10:00,Energinet,Nybro,entry,kWh/h,1168160,523554,1301890,1168160,8589000,7420545,1168455
4/18/2025 10:00,4/18/2025 11:00,Energinet,Nybro,entry,kWh/h,1168160,523554,1291186,1168160,8589000,7420545,1168455
4/18/2025 11:00,4/18/2025 12:00,Energinet,Nybro,entry,kWh/h,1168160,523554,1266308,1168160,8589000,7420545,1168455
4/18/2025 12:00,4/18/2025 13:00,Energinet,Nybro,entry,kWh/h,1368160,523554,1243397,1368160,8589000,7420545,1168455
4/18/2025 13:00,4/18/2025 14:00,Energinet,Nybro,entry,kWh/h,1368160,523554,1348768,1368160,8589000,7420545,1168455
4/18/2025 14:00,4/18/2025 15:00,Energinet,Nybro,entry,kWh/h,1368160,523554,1370970,1368160,8589000,7420545,1168455
4/18/2025 15:00,4/18/2025 16:00,Energinet,Nybro,entry,kWh/h,1368160,523554,1385619,1368160,8589000,7420545,1168455
4/18/2025 16:00,4/18/2025 17:00,Energinet,Nybro,entry,kWh/h,1368160,523554,1401189,1368160,8589000,7420545,1168455
4/18/2025 17:00,4/18/2025 18:00,Energinet,Nybro,entry,kWh/h,1368160,523554,1404585,1368160,8589000,7420545,1168455
4/18/2025 18:00,4/18/2025 19:00,Energinet,Nybro,entry,kWh/h,1368160,523554,1389615,1368160,8589000,7420545,1168455
4/18/2025 19:00,4/18/2025 20:00,Energinet,Nybro,entry,kWh/h,1488160,523554,1391690,1488160,8589000,7420545,1168455
4/18/2025 20:00,4/18/2025 21:00,Energinet,Nybro,entry,kWh/h,1488160,523554,1417934,1488160,8589000,7420545,1168455
4/18/2025 21:00,4/18/2025 22:00,Energinet,Nybro,entry,kWh/h,1488160,523554,1378912,1488160,8589000,7420545,1168455
4/18/2025 22:00,4/18/2025 23:00,Energinet,Nybro,entry,kWh/h,1488160,523554,1441809,1488160,8589000,7420545,1168455
4/18/2025 23:00,4/19/2025 0:00,Energinet,Nybro,entry,kWh/h,1488160,523554,1491341,1488160,8589000,7420545,1168455
